predictor,measure_label,measure_type,outcome,estimate,std_error,ci_low,ci_high,pvalue,n,significant_5pct
var_eigen_centrality_non_causal_std,Topic Diversity,Non-Causal,Citations,0.06615397159068917,0.008476588831709417,0.04953985748053871,0.08276808570083963,6.157534944592804e-15,33218,True
var_eigen_centrality_causal_std,Topic Diversity,Causal,In Top 5,-0.0015630395392087874,0.00358001979350275,-0.008579878334474177,0.005453799256056602,0.6624037168453881,33218,False
var_eigen_centrality_causal_std,Topic Diversity,Causal,In Top 6-20,0.00026818801604100396,0.0031903414083192696,-0.005984881144264764,0.006521257176346773,0.9330072615275131,33218,False
var_eigen_centrality_causal_std,Topic Diversity,Causal,In Top 21-100,0.004738442658342449,0.0041295830547294025,-0.0033555401289271803,0.012832425445612078,0.2512087039450819,33218,False
var_eigen_centrality_causal_std,Topic Diversity,Causal,Citations,0.09394336646060687,0.01460643021331707,0.06531476324250542,0.12257196967870833,1.2794638657249039e-10,33218,True
mean_pagerank_non_causal_std,Topic Centrality (PageRank),Non-Causal,In Top 5,0.0031148647670804523,0.002032949886636476,-0.0008697170107270407,0.007099446544887945,0.12548517763731562,33218,False
mean_pagerank_non_causal_std,Topic Centrality (PageRank),Non-Causal,In Top 6-20,0.0031138788875356505,0.0018116455603341467,-0.00043694641071927685,0.006664704185790578,0.08565786219171716,33218,False
mean_pagerank_non_causal_std,Topic Centrality (PageRank),Non-Causal,In Top 21-100,0.008645642333317109,0.0023446672183344568,0.004050094585381574,0.013241190081252643,0.00022695002078501183,33218,True
mean_pagerank_non_causal_std,Topic Centrality (PageRank),Non-Causal,Citations,0.11474625652872855,0.008275903519549996,0.09852548563041055,0.13096702742704655,1.364249426997073e-43,33218,True
mean_pagerank_causal_std,Topic Centrality (PageRank),Causal,In Top 5,-0.005059162656207851,0.0035012424070688768,-0.01192159777406285,0.0018032724616471475,0.14847796996426363,33218,False
mean_pagerank_causal_std,Topic Centrality (PageRank),Causal,In Top 6-20,0.00047495928661343346,0.0031202272481578516,-0.005640686119775956,0.006590604693002823,0.8790147766644321,33218,False
mean_pagerank_causal_std,Topic Centrality (PageRank),Causal,In Top 21-100,0.00026603882521444074,0.004038908027879271,-0.00765022090942893,0.00818229855985781,0.9474825197749153,33218,False
mean_pagerank_causal_std,Topic Centrality (PageRank),Causal,Citations,0.05485142612923134,0.014291158572018594,0.026840755328074898,0.08286209693038779,0.0001242010519699686,33218,True
